sale_id,order_date,product_id,channel_id,quantity,unit_price,unit_cost,discount_pct,gross_revenue,gross_cost
SL-0000001,2023-01-12,APP-0005,CH-NE-01,2,56.95,37.55,0.25,113.9,75.1
SL-0000002,2023-01-13,APP-0005,CH-WE-01,3,56.95,37.94,0.25,170.85,113.82
SL-0000003,2023-01-13,APP-0005,CH-ON-01,6,56.95,38.54,0.25,341.7,231.24
SL-0000004,2023-01-14,APP-0005,CH-NE-01,4,56.95,36.92,0.25,227.8,147.68
SL-0000005,2023-01-14,APP-0005,CH-MW-01,1,56.95,37.78,0.25,56.95,37.78
SL-0000006,2023-01-14,APP-0005,CH-WE-01,7,56.95,37.42,0.25,398.65,261.94
SL-0000007,2023-01-14,APP-0005,CH-ON-01,4,56.95,37.3,0.25,227.8,149.2
SL-0000008,2023-01-15,APP-0005,CH-ON-01,5,56.95,38.07,0.25,284.75,190.35
SL-0000009,2023-01-16,APP-0005,CH-WE-01,4,75.93,36.89,0.0,303.72,147.56
SL-0000010,2023-01-16,APP-0005,CH-ON-01,2,75.93,38.36,0.0,151.86,76.72
SL-0000011,2023-01-17,APP-0005,CH-MW-01,2,75.93,37.47,0.0,151.86,74.94
SL-0000012,2023-01-18,APP-0005,CH-NE-01,1,75.93,37.2,0.0,75.93,37.2
SL-0000013,2023-01-18,APP-0005,CH-ON-01,3,75.93,36.73,0.0,227.79,110.19
SL-0000014,2023-01-19,APP-0005,CH-NE-01,3,75.93,36.82,0.0,227.79,110.46
SL-0000015,2023-01-20,APP-0005,CH-WE-01,3,75.93,38.16,0.0,227.79,114.48
SL-0000016,2023-01-20,APP-0005,CH-ON-01,3,75.93,37.96,0.0,227.79,113.88
SL-0000017,2023-01-20,APP-0005,CH-WS-01,2,75.93,38.06,0.0,151.86,76.12
SL-0000018,2023-01-21,APP-0005,CH-WE-01,1,75.93,37.93,0.0,75.93,37.93
SL-0000019,2023-01-22,APP-0005,CH-NE-01,1,75.93,37.76,0.0,75.93,37.76
SL-0000020,2023-01-23,APP-0005,CH-WE-01,3,75.93,37.87,0.0,227.79,113.61
SL-0000021,2023-01-24,APP-0005,CH-NE-01,6,75.93,38.71,0.0,455.58,232.26
SL-0000022,2023-01-24,APP-0005,CH-MW-01,2,75.93,37.17,0.0,151.86,74.34
SL-0000023,2023-01-25,APP-0005,CH-WE-01,5,75.93,39.26,0.0,379.65,196.3
SL-0000024,2023-01-25,APP-0005,CH-ON-01,3,75.93,38.03,0.0,227.79,114.09
SL-0000025,2023-01-25,APP-0005,CH-WS-01,1,75.93,36.67,0.0,75.93,36.67
SL-0000026,2023-01-26,APP-0005,CH-NE-01,2,75.93,37.86,0.0,151.86,75.72
SL-0000027,2023-01-26,APP-0005,CH-WE-01,3,75.93,38.41,0.0,227.79,115.23
SL-0000028,2023-01-27,APP-0005,CH-MW-01,2,75.93,39.12,0.0,151.86,78.24
SL-0000029,2023-01-27,APP-0005,CH-WE-01,2,75.93,38.34,0.0,151.86,76.68
SL-0000030,2023-01-28,APP-0005,CH-NE-01,6,75.93,38.77,0.0,455.58,232.62
SL-0000031,2023-01-28,APP-0005,CH-MW-01,2,75.93,38.07,0.0,151.86,76.14
SL-0000032,2023-01-28,APP-0005,CH-WE-01,1,75.93,38.28,0.0,75.93,38.28
SL-0000033,2023-01-29,APP-0005,CH-NE-01,2,75.93,38.41,0.0,151.86,76.82
SL-0000034,2023-01-29,APP-0005,CH-WE-01,3,75.93,38.73,0.0,227.79,116.19
SL-0000035,2023-01-30,HOM-0032,CH-MW-01,1,30.43,14.64,0.0,30.43,14.64
SL-0000036,2023-01-30,APP-0005,CH-WE-01,3,75.93,37.65,0.0,227.79,112.95
SL-0000037,2023-01-30,APP-0005,CH-ON-01,2,75.93,37.05,0.0,151.86,74.1
SL-0000038,2023-01-31,APP-0005,CH-NE-01,1,75.93,37.45,0.0,75.93,37.45
SL-0000039,2023-01-31,HOM-0032,CH-NE-01,2,30.43,13.71,0.0,60.86,27.42
SL-0000040,2023-01-31,APP-0005,CH-MW-01,2,75.93,36.85,0.0,151.86,73.7
SL-0000041,2023-01-31,APP-0005,CH-ON-01,3,75.93,39.27,0.0,227.79,117.81
SL-0000042,2023-01-31,APP-0005,CH-WS-01,2,75.93,37.34,0.0,151.86,74.68
SL-0000043,2023-02-01,APP-0005,CH-NE-01,4,75.93,36.94,0.0,303.72,147.76
SL-0000044,2023-02-01,HOM-0032,CH-WE-01,4,30.43,14.21,0.0,121.72,56.84
SL-0000045,2023-02-01,APP-0005,CH-ON-01,3,75.93,37.11,0.0,227.79,111.33
SL-0000046,2023-02-01,HOM-0032,CH-ON-01,1,30.43,14.13,0.0,30.43,14.13
SL-0000047,2023-02-01,HOM-0032,CH-WS-01,1,30.43,13.71,0.0,30.43,13.71
SL-0000048,2023-02-02,APP-0005,CH-WE-01,4,75.93,38.93,0.0,303.72,155.72
SL-0000049,2023-02-02,HOM-0032,CH-WE-01,1,30.43,14.53,0.0,30.43,14.53
SL-0000050,2023-02-02,APP-0005,CH-ON-01,3,75.93,39.08,0.0,227.79,117.24
SL-0000051,2023-02-03,APP-0005,CH-NE-01,2,75.93,37.32,0.0,151.86,74.64
SL-0000052,2023-02-03,HOM-0032,CH-MW-01,3,30.43,14.04,0.0,91.29,42.12
SL-0000053,2023-02-03,APP-0005,CH-WE-01,7,75.93,37.35,0.0,531.51,261.45
SL-0000054,2023-02-03,HOM-0032,CH-WE-01,4,30.43,14.11,0.0,121.72,56.44
SL-0000055,2023-02-03,HOM-0032,CH-ON-01,8,30.43,14.18,0.0,243.44,113.44
SL-0000056,2023-02-04,APP-0005,CH-WE-01,5,75.93,36.86,0.0,379.65,184.3
SL-0000057,2023-02-04,HOM-0032,CH-ON-01,3,30.43,13.85,0.0,91.29,41.55
SL-0000058,2023-02-05,APP-0005,CH-NE-01,2,75.93,38.37,0.0,151.86,76.74
SL-0000059,2023-02-05,HOM-0032,CH-NE-01,4,30.43,14.24,0.0,121.72,56.96
SL-0000060,2023-02-05,APP-0005,CH-ON-01,1,75.93,37.66,0.0,75.93,37.66
SL-0000061,2023-02-05,HOM-0032,CH-WS-01,1,30.43,14.25,0.0,30.43,14.25
SL-0000062,2023-02-06,APP-0005,CH-MW-01,2,75.93,39.27,0.0,151.86,78.54
SL-0000063,2023-02-06,APP-0005,CH-WE-01,1,75.93,39.08,0.0,75.93,39.08
SL-0000064,2023-02-06,HOM-0032,CH-ON-01,6,30.43,14.32,0.0,182.58,85.92
SL-0000065,2023-02-07,APP-0005,CH-WS-01,2,75.93,39.0,0.0,151.86,78.0
SL-0000066,2023-02-08,APP-0005,CH-NE-01,2,75.93,38.36,0.0,151.86,76.72
SL-0000067,2023-02-08,HOM-0032,CH-NE-01,10,30.43,14.33,0.0,304.3,143.3
SL-0000068,2023-02-08,HOM-0032,CH-MW-01,2,30.43,13.74,0.0,60.86,27.48
SL-0000069,2023-02-08,APP-0005,CH-WE-01,4,75.93,38.58,0.0,303.72,154.32
SL-0000070,2023-02-08,APP-0005,CH-ON-01,4,75.93,39.11,0.0,303.72,156.44
SL-0000071,2023-02-08,HOM-0032,CH-ON-01,3,30.43,14.62,0.0,91.29,43.86
SL-0000072,2023-02-08,APP-0005,CH-WS-01,2,75.93,38.82,0.0,151.86,77.64
SL-0000073,2023-02-09,APP-0005,CH-NE-01,3,75.93,38.3,0.0,227.79,114.9
SL-0000074,2023-02-09,APP-0005,CH-MW-01,1,75.93,37.76,0.0,75.93,37.76
SL-0000075,2023-02-09,HOM-0032,CH-MW-01,2,30.43,14.43,0.0,60.86,28.86
SL-0000076,2023-02-09,APP-0005,CH-ON-01,2,75.93,36.97,0.0,151.86,73.94
SL-0000077,2023-02-09,HOM-0032,CH-ON-01,2,30.43,14.35,0.0,60.86,28.7
SL-0000078,2023-02-09,HOM-0032,CH-WS-01,1,30.43,14.6,0.0,30.43,14.6
SL-0000079,2023-02-10,HOM-0032,CH-NE-01,1,30.43,13.85,0.0,30.43,13.85
SL-0000080,2023-02-10,APP-0005,CH-MW-01,1,75.93,38.58,0.0,75.93,38.58
SL-0000081,2023-02-10,HOM-0032,CH-MW-01,1,30.43,13.99,0.0,30.43,13.99
SL-0000082,2023-02-10,APP-0005,CH-WE-01,4,75.93,37.04,0.0,303.72,148.16
